"team","rating","strength","rotation_rating"
"MIN",87.4,84.3,94.6
"ATL",85.2,83.4,83.7
"DAL",81,80.8,92.9
"NYL",80.5,79.8,81.8
"GSV",79.5,79.8,86.6
"WAS",79.2,79.3,83.9
"IND",78.4,81.6,89.5
"LVA",77.3,81.8,84.8
"PHO",75.7,78.3,92.5
"LAS",75.2,75.1,83.8
"CHI",74.5,76.1,90.1
"POR",73.4,72.7,96.6
"SEA",72.4,73.9,86.4
"CON",67.9,72.2,94.8
"TOR",44.5,77,100
