"player","team","g","mp","mp_g"
"Noémie Brochant","PHO",10,192,19.2
"Peyton Williams","PHO",2,6,3
"Quionche Carter","PHO",1,10,10
"Sha Carter","PHO",9,18,2
"Valeriane Ayayi","PHO",8,70,8.75
"Bridget Carleton","POR",9,265,29.44
"Carla Leite","POR",8,187,23.38
"Emily Engstler","POR",10,231,23.1
"Frieda Bühner","POR",9,89,9.89
"Haley Jones","POR",5,58,11.6
"Holly Winterburn","POR",7,55,7.86
"Jordan Harrison","POR",2,11,5.5
"Kamiah Smalls","POR",2,30,15
"Karlie Samuelson","POR",4,44,11
"Luisa Geiselsöder","POR",10,214,21.4
"Megan Gustafson","POR",10,171,17.1
"Nyadiew Puoch","POR",10,206,20.6
"Sarah Ashlee Barker","POR",10,215,21.5
"Serah Williams","POR",10,97,9.7
"Sug Sutton","POR",3,69,23
"Teja Oblak","POR",6,62,10.33
"Awa Fam","SEA",4,92,23
"Dominique Malonga","SEA",3,81,27
"Flau'jae Johnson","SEA",10,263,26.3
"Grace VanSlooten","SEA",4,47,11.75
"Jade Melbourne","SEA",10,247,24.7
"Jordan Horston","SEA",10,190,19
"Joyner Holmes","SEA",5,15,3
"Katie Lou Samuelson","SEA",4,62,15.5
"Lexie Brown","SEA",10,149,14.9
"Mackenzie Holmes","SEA",10,156,15.6
"Natisha Hiedeman","SEA",10,264,26.4
"Stefanie Dolson","SEA",10,242,24.2
"Taina Mair","SEA",5,3,0.6
"Taylor Thierry","SEA",3,13,4.33
"Zia Cooke","SEA",10,178,17.8
"Brittney Sykes","TOR",9,287,31.89
"Julie Allemand","TOR",4,97,24.25
"Kia Nurse","TOR",9,108,12
"Kiki Rice","TOR",9,244,27.11
"Laura Juškaitė","TOR",9,184,20.44
"Lexi Held","TOR",8,61,7.62
"Maria Conde","TOR",9,207,23
"Mariella Fasoula","TOR",6,15,2.5
"Marina Mabrey","TOR",9,242,26.89
"Nikolina Milic","TOR",7,55,7.86
"Nyara Sabally","TOR",7,177,25.29
"Temi Fagbenle","TOR",1,16,16
"Teonni Key","TOR",9,103,11.44
"Tima Pouye","TOR",1,4,4
"Ally Wilson","WAS",7,58,8.29
"Alicia Flórez","WAS",2,48,24
"Angela Dugalić","WAS",7,86,12.29
"Cassandre Prosper","WAS",7,135,19.29
"Cotie McMahon","WAS",5,80,16
"Darianna Littlepage","WAS",1,0,0
"Georgia Amoore","WAS",7,165,23.57
"Kiki Iriafen","WAS",7,195,27.86
"Lauren Betts","WAS",7,93,13.29
"Lucy Olsen","WAS",7,29,4.14
"Michaela Onyenwere","WAS",3,63,21
"Rori Harmon","WAS",7,59,8.43
"Shakira Austin","WAS",7,204,29.14
"Sonia Citron","WAS",7,233,33.29
