"player","g","mp","mp_g"
"Nikolina Milic",8,63,7.88
"Nneka Ogwumike",40,1232,30.8
"Noémie Brochant",40,895,22.38
"Nyadiew Puoch",39,671,17.21
"Nyara Sabally",27,616,22.81
"Odyssey Sims",30,445,14.83
"Olivia Miles",38,1175,30.92
"Olivia Nelson-Ododa",34,745,21.91
"Ornella Bankole",10,93,9.3
"Paige Bueckers",38,1255,33.03
"Pauline Astier",42,975,23.21
"Peyton Williams",2,6,3
"Quionche Carter",14,73,5.21
"Rachel Banham",40,470,11.75
"Rae Burrell",40,1164,29.1
"Raegan Beers",39,375,9.62
"Raquel Carrera Quintana",37,144,3.89
"Raven Johnson",40,383,9.57
"Rayah Marshall",6,27,4.5
"Rebecca Allen",40,457,11.43
"Rebekah Gardner",42,589,14.02
"Rhyne Howard",39,1344,34.46
"Rickea Jackson",7,118,16.86
"Rori Harmon",36,71,1.97
"Sabrina Ionescu",30,892,29.73
"Sami Whitcomb",18,267,14.83
"Sania Feagin",10,10,1
"Saniya Rivers",35,782,22.34
"Sarah Ashlee Barker",28,659,23.54
"Satou Sabally",14,217,15.5
"Saylor Poffenbarger",12,26,2.17
"Serah Williams",38,439,11.55
"Sha Carter",9,18,2
"Shakira Austin",40,1164,29.1
"Shatori Walker-Kimbrough",22,31,1.41
"Shay Ciezki",7,31,4.43
"Sika Koné",40,171,4.28
"Skylar Diggins",21,576,27.43
"Sonia Citron",39,1248,32
"Sophie Cunningham",40,911,22.77
"Stefanie Dolson",42,632,15.05
"Stephanie Talbot",42,688,16.38
"Sug Sutton",30,253,8.43
"Sydney Taylor",35,674,19.26
"Ta'Niya Latson",30,116,3.87
"Taina Mair",14,46,3.29
"Taylor Thierry",34,75,2.21
"Te-Hina PaoPao",32,355,11.09
"Teaira McCowan",11,68,6.18
"Teja Oblak",34,391,11.5
"Temi Fagbenle",25,421,16.84
"Teonni Key",41,323,7.88
"Tiffany Hayes",38,633,16.66
"Tima Pouye",23,213,9.26
"Tonie Morgan",7,90,12.86
"Tyasha Harris",41,515,12.56
"Valeriane Ayayi",38,569,14.97
"Veronica Burton",40,1129,28.23
"Zaay Green",1,5,5
"Zia Cooke",42,616,14.67
