"player","mp","team","date"
"NaLyssa Smith",16,"LV",2026-05-10
"A'ja WilsonA. Wilson#22",30,"LV",2026-05-10
"Chelsea Gray",32,"LV",2026-05-10
"Jackie Young",31,"LV",2026-05-10
"Cheyenne Parker",3,"LV",2026-05-10
"Brianna Turner",16,"LV",2026-05-10
"Kierstan Bell",8,"LV",2026-05-10
"Jewell Loyd",26,"LV",2026-05-10
"Chennedy Carter",20,"LV",2026-05-10
"Nneka Ogwumike",33,"LA",2026-05-10
"Dearica Hamby",27,"LA",2026-05-10
"Kelsey Plum",35,"LA",2026-05-10
"Ariel Atkins",32,"LA",2026-05-10
"Rae Burrell",28,"LA",2026-05-10
"Emma Cannon",2,"LA",2026-05-10
"Cameron Brink",8,"LA",2026-05-10
"Sania Feagin",3,"LA",2026-05-10
"Jihyun Park",2,"LA",2026-05-10
"Erica Wheeler",18,"LA",2026-05-10
"Ta'Niya Latson",5,"LA",2026-05-10
"Chance Gray",8,"LA",2026-05-10
"DeWanna Bonner",32,"PHX",2026-05-10
"Alyssa Thomas",38,"PHX",2026-05-10
"Natasha Mack",29,"PHX",2026-05-10
"Kahleah Copper",36,"PHX",2026-05-10
"Jovana Nogic",27,"PHX",2026-05-10
"Anneli Maley",0,"PHX",2026-05-10
"Noemie Brochant",16,"PHX",2026-05-10
"Kyara Linskens",5,"PHX",2026-05-10
"Kiana Williams",12,"PHX",2026-05-10
"Sha Carter",6,"PHX",2026-05-10
"Peyton Williams",0,"PHX",2026-05-10
"Kayla Thornton",31,"GS",2026-05-10
"Gabby Williams",32,"GS",2026-05-10
"Kiah Stokes",13,"GS",2026-05-10
"Kaila Charles",33,"GS",2026-05-10
"Veronica Burton",32,"GS",2026-05-10
"Laeticia Amihere",24,"GS",2026-05-10
"Janelle Salaun",26,"GS",2026-05-10
"Kaitlyn Chen",9,"GS",2026-05-10
"Miela Sowah",0,"GS",2026-05-10
"Ndjakalenga Mwenentanda",0,"GS",2026-05-10
"Naz Hillmon",36,"ATL",2026-05-12
"Angel Reese",34,"ATL",2026-05-12
"Allisha Gray",34,"ATL",2026-05-12
"Jordin Canada",31,"ATL",2026-05-12
"Rhyne Howard",37,"ATL",2026-05-12
"Sika Kone",1,"ATL",2026-05-12
"Madina Okot",9,"ATL",2026-05-12
"Te-Hina Paopao",13,"ATL",2026-05-12
"Indya Nivar",1,"ATL",2026-05-12
"Isobel Borlase",4,"ATL",2026-05-12
"Aaliyah Nye",0,"ATL",2026-05-12
"Jessica Shepard",31,"DAL",2026-05-12
"Alanna Smith",27,"DAL",2026-05-12
"Odyssey Sims",23,"DAL",2026-05-12
"Arike Ogunbowale",36,"DAL",2026-05-12
"Paige Bueckers",32,"DAL",2026-05-12
"Alysha Clark",14,"DAL",2026-05-12
"Maddy Siegrist",8,"DAL",2026-05-12
"Awak Kuier",15,"DAL",2026-05-12
"Aziaha James",15,"DAL",2026-05-12
"Li Yueru",0,"DAL",2026-05-12
"JJ QuinerlyJ. Quinerly#11",0,"DAL",2026-05-12
"Natasha Howard",29,"MIN",2026-05-12
"Nia Coffey",21,"MIN",2026-05-12
"Kayla Mc",33,"MIN",2026-05-12
"Courtney Williams",30,"MIN",2026-05-12
"Olivia Miles",26,"MIN",2026-05-12
"Antonia Delaere",19,"MIN",2026-05-12
"Anastasiia Olairi",9,"MIN",2026-05-12
"Emma Cechova",22,"MIN",2026-05-12
"Maya Caldwell",8,"MIN",2026-05-12
"Eliska Hamzova",5,"MIN",2026-05-12
"DeWanna Bonner",30,"PHX",2026-05-12
"Alyssa Thomas",34,"PHX",2026-05-12
"Valeriane Ayayi",17,"PHX",2026-05-12
"Natasha Mack",28,"PHX",2026-05-12
"Kahleah Copper",35,"PHX",2026-05-12
"Noemie Brochant",12,"PHX",2026-05-12
"Kyara Linskens",12,"PHX",2026-05-12
"Jovana Nogic",17,"PHX",2026-05-12
"Kiana Williams",14,"PHX",2026-05-12
"Anneli Maley",0,"PHX",2026-05-12
"Sha Carter",0,"PHX",2026-05-12
"Breanna Stewart",38,"NY",2026-05-12
"Jonquel Jones",34,"NY",2026-05-12
"Betnijah Laney",25,"NY",2026-05-12
"Marine Johannes",33,"NY",2026-05-12
"Pauline Astier",30,"NY",2026-05-12
"Aubrey Griffin",0,"NY",2026-05-12
"Han Xu",6,"NY",2026-05-12
"Rebekah Gardner",22,"NY",2026-05-12
"Julie Vanloo",12,"NY",2026-05-12
"Bridget Carleton",33,"POR",2026-05-12
"Emily Engstler",24,"POR",2026-05-12
"Nyadiew Puoch",22,"POR",2026-05-12
"Luisa Geiselsoder",25,"POR",2026-05-12
"Carla Leite",26,"POR",2026-05-12
"Kamiah Smalls",14,"POR",2026-05-12
"Frieda Buhner",8,"POR",2026-05-12
"Megan Gustafson",15,"POR",2026-05-12
"Haley Jones",11,"POR",2026-05-12
"Sarah Ashlee",22,"POR",2026-05-12
"Serah Williams",0,"POR",2026-05-12
"Jordan Horston",18,"SEA",2026-05-13
"Stefanie Dolson",22,"SEA",2026-05-13
"Dominique Malonga",32,"SEA",2026-05-13
"Natisha Hiedeman",22,"SEA",2026-05-13
"Flau'jae JohnsonF. Johnson#4",29,"SEA",2026-05-13
"Mackenzie Holmes",5,"SEA",2026-05-13
"Grace Van",12,"SEA",2026-05-13
"Lexie Brown",16,"SEA",2026-05-13
"Zia Cooke",16,"SEA",2026-05-13
"Jade Melbourne",28,"SEA",2026-05-13
"Taina Mair",0,"SEA",2026-05-13
"Nyara Sabally",26,"TOR",2026-05-13
"Teonni Key",8,"TOR",2026-05-13
"Brittney Sykes",33,"TOR",2026-05-13
"Marina Mabrey",29,"TOR",2026-05-13
"Julie Allemand",29,"TOR",2026-05-13
"Maria Conde",29,"TOR",2026-05-13
"Nikolina Milic",10,"TOR",2026-05-13
"Laura Juskaite",7,"TOR",2026-05-13
"Kia Nurse",7,"TOR",2026-05-13
"Lexi Held",2,"TOR",2026-05-13
"Kiki Rice",21,"TOR",2026-05-13
"Mariella Fasoula",0,"TOR",2026-05-13
"Stephanie Talbot",12,"LV",2026-05-13
"NaLyssa Smith",18,"LV",2026-05-13
"A'ja WilsonA. Wilson#22",21,"LV",2026-05-13
"Chelsea Gray",26,"LV",2026-05-13
"Jackie Young",27,"LV",2026-05-13
"Cheyenne Parker",18,"LV",2026-05-13
"Brianna Turner",18,"LV",2026-05-13
"Kierstan Bell",9,"LV",2026-05-13
"Jewell Loyd",28,"LV",2026-05-13
"Chennedy Carter",25,"LV",2026-05-13
"Diamond Miller",24,"CON",2026-05-13
"Olivia Nelson",22,"CON",2026-05-13
"Kennedy Burke",31,"CON",2026-05-13
"Saniya Rivers",30,"CON",2026-05-13
"Charlisse Leger",16,"CON",2026-05-13
"Aneesah Morrow",24,"CON",2026-05-13
"Raegan Beers",14,"CON",2026-05-13
"Hailey Van",22,"CON",2026-05-13
"Gianna Kneepkens",16,"CON",2026-05-13
"Ashlon Jackson",0,"CON",2026-05-13
"Rickea Jackson",39,"CHI",2026-05-13
"Kamilla Cardoso",27,"CHI",2026-05-13
"Skylar Diggins",34,"CHI",2026-05-13
"Jacy Sheldon",31,"CHI",2026-05-13
"Gabriela Jaquez",26,"CHI",2026-05-13
"Elizabeth Williams",13,"CHI",2026-05-13
"Natasha Cloud",18,"CHI",2026-05-13
"Rachel Banham",12,"CHI",2026-05-13
"Aicha Coulibaly",0,"CHI",2026-05-13
"Sydney Taylor",0,"CHI",2026-05-13
"Kayla Thornton",30,"GS",2026-05-13
"Gabby Williams",32,"GS",2026-05-13
"Kiah Stokes",29,"GS",2026-05-13
"Kaila Charles",28,"GS",2026-05-13
"Veronica Burton",36,"GS",2026-05-13
"Laeticia Amihere",11,"GS",2026-05-13
"Janelle Salaun",17,"GS",2026-05-13
"Kaitlyn Chen",18,"GS",2026-05-13
"Ashten Prechtel",0,"GS",2026-05-13
"Miela Sowah",0,"GS",2026-05-13
"Ndjakalenga Mwenentanda",0,"GS",2026-05-13
"Monique Billings",27,"IND",2026-05-13
"Aliyah Boston",23,"IND",2026-05-13
"Kelsey Mitchell",27,"IND",2026-05-13
"Sophie Cunningham",27,"IND",2026-05-13
"Caitlin Clark",31,"IND",2026-05-13
"Myisha Hines",11,"IND",2026-05-13
"Makayla Timpson",9,"IND",2026-05-13
"Damiris Dantas",11,"IND",2026-05-13
"Tyasha Harris",16,"IND",2026-05-13
"Lexie Hull",13,"IND",2026-05-13
"Raven Johnson",5,"IND",2026-05-13
"Shatori Walker",0,"IND",2026-05-13
"Nneka Ogwumike",32,"LA",2026-05-13
"Dearica Hamby",29,"LA",2026-05-13
"Kelsey Plum",37,"LA",2026-05-13
"Ariel Atkins",16,"LA",2026-05-13
"Rae Burrell",29,"LA",2026-05-13
"Cameron Brink",19,"LA",2026-05-13
"Erica Wheeler",21,"LA",2026-05-13
"Ta'Niya Latson",2,"LA",2026-05-13
"Chance Gray",16,"LA",2026-05-13
"Emma Cannon",0,"LA",2026-05-13
"Jihyun Park",0,"LA",2026-05-13
"Natasha Howard",35,"MIN",2026-05-14
"Nia Coffey",30,"MIN",2026-05-14
"Kayla Mc",34,"MIN",2026-05-14
"Courtney Williams",31,"MIN",2026-05-14
"Olivia Miles",32,"MIN",2026-05-14
"Antonia Delaere",13,"MIN",2026-05-14
"Anastasiia Olairi",5,"MIN",2026-05-14
"Emma Cechova",11,"MIN",2026-05-14
"Maya Caldwell",11,"MIN",2026-05-14
"Liatu King",0,"MIN",2026-05-14
"Eliska Hamzova",0,"MIN",2026-05-14
"Jessica Shepard",31,"DAL",2026-05-14
"Alanna Smith",27,"DAL",2026-05-14
"Odyssey Sims",25,"DAL",2026-05-14
"Arike Ogunbowale",30,"DAL",2026-05-14
"Paige Bueckers",31,"DAL",2026-05-14
"Alysha Clark",3,"DAL",2026-05-14
"Maddy Siegrist",16,"DAL",2026-05-14
"Awak Kuier",6,"DAL",2026-05-14
"Azzi Fudd",20,"DAL",2026-05-14
"Aziaha James",11,"DAL",2026-05-14
"Li Yueru",0,"DAL",2026-05-14
"JJ QuinerlyJ. Quinerly#11",0,"DAL",2026-05-14
"Breanna Stewart",28,"NY",2026-05-14
"Jonquel Jones",26,"NY",2026-05-14
"Betnijah Laney",17,"NY",2026-05-14
"Marine Johannes",28,"NY",2026-05-14
"Pauline Astier",22,"NY",2026-05-14
"Aubrey Griffin",2,"NY",2026-05-14
"Alex Fowler",17,"NY",2026-05-14
"Han Xu",7,"NY",2026-05-14
"Rebekah Gardner",20,"NY",2026-05-14
"Julie Vanloo",18,"NY",2026-05-14
"Rebecca Allen",14,"NY",2026-05-14
"Bridget Carleton",25,"POR",2026-05-14
"Kamiah Smalls",16,"POR",2026-05-14
"Emily Engstler",19,"POR",2026-05-14
"Nyadiew Puoch",31,"POR",2026-05-14
"Luisa Geiselsoder",22,"POR",2026-05-14
"Frieda Buhner",14,"POR",2026-05-14
"Megan Gustafson",14,"POR",2026-05-14
"Serah Williams",4,"POR",2026-05-14
"Sug Sutton",20,"POR",2026-05-14
"Haley Jones",15,"POR",2026-05-14
"Sarah Ashlee",21,"POR",2026-05-14
"Stephanie Talbot",22,"LV",2026-05-15
"NaLyssa Smith",17,"LV",2026-05-15
"A'ja WilsonA. Wilson#22",32,"LV",2026-05-15
"Chelsea Gray",31,"LV",2026-05-15
"Jackie Young",31,"LV",2026-05-15
"Cheyenne Parker",14,"LV",2026-05-15
"Brianna Turner",3,"LV",2026-05-15
"Jewell Loyd",27,"LV",2026-05-15
"Chennedy Carter",22,"LV",2026-05-15
"Kierstan Bell",0,"LV",2026-05-15
"Aaliyah Edwards",17,"CON",2026-05-15
"Diamond Miller",15,"CON",2026-05-15
"Kennedy Burke",24,"CON",2026-05-15
"Hailey Van",22,"CON",2026-05-15
"Gianna Kneepkens",18,"CON",2026-05-15
"Aneesah Morrow",27,"CON",2026-05-15
"Raegan Beers",17,"CON",2026-05-15
"Nell Angloma",14,"CON",2026-05-15
"Saniya Rivers",28,"CON",2026-05-15
"Charlisse Leger",18,"CON",2026-05-15
"Kiki Iriafen",36,"WSH",2026-05-15
"Shakira Austin",34,"WSH",2026-05-15
"Sonia Citron",38,"WSH",2026-05-15
"Cotie Mc",30,"WSH",2026-05-15
"Georgia Amoore",24,"WSH",2026-05-15
"Angela Dugalic",6,"WSH",2026-05-15
"Lauren Betts",14,"WSH",2026-05-15
"Rori Harmon",9,"WSH",2026-05-15
"Cassandre Prosper",25,"WSH",2026-05-15
"Alex Wilson",9,"WSH",2026-05-15
"Lucy Olsen",0,"WSH",2026-05-15
"Monique Billings",36,"IND",2026-05-15
"Aliyah Boston",21,"IND",2026-05-15
"Kelsey Mitchell",39,"IND",2026-05-15
"Sophie Cunningham",20,"IND",2026-05-15
"Caitlin Clark",37,"IND",2026-05-15
"Myisha Hines",21,"IND",2026-05-15
"Makayla Timpson",4,"IND",2026-05-15
"Damiris Dantas",7,"IND",2026-05-15
"Tyasha Harris",10,"IND",2026-05-15
"Lexie Hull",26,"IND",2026-05-15
"Raven Johnson",4,"IND",2026-05-15
"Shatori Walker",0,"IND",2026-05-15
"Nyara Sabally",28,"TOR",2026-05-15
"Nikolina Milic",5,"TOR",2026-05-15
"Brittney Sykes",35,"TOR",2026-05-15
"Marina Mabrey",21,"TOR",2026-05-15
"Julie Allemand",21,"TOR",2026-05-15
"Maria Conde",20,"TOR",2026-05-15
"Teonni Key",9,"TOR",2026-05-15
"Laura Juskaite",25,"TOR",2026-05-15
"Kia Nurse",9,"TOR",2026-05-15
"Lexi Held",6,"TOR",2026-05-15
"Kiki Rice",21,"TOR",2026-05-15
"Nneka Ogwumike",32,"LA",2026-05-15
"Dearica Hamby",32,"LA",2026-05-15
"Erica Wheeler",33,"LA",2026-05-15
"Kelsey Plum",33,"LA",2026-05-15
"Rae Burrell",35,"LA",2026-05-15
"Cameron Brink",16,"LA",2026-05-15
"Kate Martin",6,"LA",2026-05-15
"Ta'Niya Latson",2,"LA",2026-05-15
"Chance Gray",11,"LA",2026-05-15
"Emma Cannon",0,"LA",2026-05-15
"Jihyun Park",0,"LA",2026-05-15
"Rickea Jackson",32,"CHI",2026-05-15
"Kamilla Cardoso",23,"CHI",2026-05-15
"Skylar Diggins",12,"CHI",2026-05-15
"Jacy Sheldon",26,"CHI",2026-05-15
"Gabriela Jaquez",29,"CHI",2026-05-15
"Elizabeth Williams",17,"CHI",2026-05-15
"Natasha Cloud",23,"CHI",2026-05-15
"Rachel Banham",16,"CHI",2026-05-15
"Aicha Coulibaly",16,"CHI",2026-05-15
"Sydney Taylor",7,"CHI",2026-05-15
"DeWanna Bonner",33,"PHX",2026-05-15
"Alyssa Thomas",33,"PHX",2026-05-15
"Natasha Mack",30,"PHX",2026-05-15
"Kahleah Copper",34,"PHX",2026-05-15
"Jovana Nogic",31,"PHX",2026-05-15
"Valeriane Ayayi",12,"PHX",2026-05-15
"Noemie Brochant",11,"PHX",2026-05-15
"Kyara Linskens",8,"PHX",2026-05-15
"Kiana Williams",8,"PHX",2026-05-15
"Anneli Maley",0,"PHX",2026-05-15
"Sha Carter",0,"PHX",2026-05-15
"Rickea Jackson",11,"CHI",2026-05-17
"Kamilla Cardoso",26,"CHI",2026-05-17
"Natasha Cloud",32,"CHI",2026-05-17
"Jacy Sheldon",32,"CHI",2026-05-17
"Gabriela Jaquez",32,"CHI",2026-05-17
"Elizabeth Williams",14,"CHI",2026-05-17
"Rachel Banham",23,"CHI",2026-05-17
"Aicha Coulibaly",21,"CHI",2026-05-17
"Sydney Taylor",10,"CHI",2026-05-17
"Natasha Howard",26,"MIN",2026-05-17
"Nia Coffey",22,"MIN",2026-05-17
"Kayla Mc",36,"MIN",2026-05-17
"Courtney Williams",27,"MIN",2026-05-17
"Olivia Miles",31,"MIN",2026-05-17
"Antonia Delaere",5,"MIN",2026-05-17
"Anastasiia Olairi",5,"MIN",2026-05-17
"Emese Hof",10,"MIN",2026-05-17
"Maya Caldwell",14,"MIN",2026-05-17
"Eliska Hamzova",2,"MIN",2026-05-17
"Stephanie Talbot",16,"LV",2026-05-17
"NaLyssa Smith",20,"LV",2026-05-17
"A'ja WilsonA. Wilson#22",31,"LV",2026-05-17
"Chelsea Gray",33,"LV",2026-05-17
"Jackie Young",34,"LV",2026-05-17
"Cheyenne Parker",9,"LV",2026-05-17
"Brianna Turner",6,"LV",2026-05-17
"Jewell Loyd",29,"LV",2026-05-17
"Chennedy Carter",21,"LV",2026-05-17
"Kierstan Bell",0,"LV",2026-05-17
"Naz Hillmon",30,"ATL",2026-05-17
"Angel Reese",29,"ATL",2026-05-17
"Allisha Gray",37,"ATL",2026-05-17
"Jordin Canada",33,"ATL",2026-05-17
"Te-Hina Paopao",36,"ATL",2026-05-17
"Sika Kone",3,"ATL",2026-05-17
"Madina Okot",16,"ATL",2026-05-17
"Aaliyah Nye",1,"ATL",2026-05-17
"Indya Nivar",10,"ATL",2026-05-17
"Isobel Borlase",4,"ATL",2026-05-17
"Jordan Horston",15,"SEA",2026-05-17
"Stefanie Dolson",30,"SEA",2026-05-17
"Natisha Hiedeman",31,"SEA",2026-05-17
"Flau'jae JohnsonF. Johnson#4",28,"SEA",2026-05-17
"Jade Melbourne",29,"SEA",2026-05-17
"Mackenzie Holmes",10,"SEA",2026-05-17
"Grace Van",18,"SEA",2026-05-17
"Lexie Brown",17,"SEA",2026-05-17
"Zia Cooke",22,"SEA",2026-05-17
"Taylor Thierry",0,"SEA",2026-05-17
"Taina Mair",0,"SEA",2026-05-17
"Myisha Hines",27,"IND",2026-05-17
"Monique Billings",20,"IND",2026-05-17
"Kelsey Mitchell",28,"IND",2026-05-17
"Lexie Hull",19,"IND",2026-05-17
"Caitlin Clark",24,"IND",2026-05-17
"Makayla Timpson",18,"IND",2026-05-17
"Damiris Dantas",6,"IND",2026-05-17
"Shatori Walker",3,"IND",2026-05-17
"Sophie Cunningham",25,"IND",2026-05-17
"Tyasha Harris",13,"IND",2026-05-17
"Raven Johnson",17,"IND",2026-05-17
"Nyara Sabally",20,"TOR",2026-05-17
"Laura Juskaite",21,"TOR",2026-05-17
"Brittney Sykes",38,"TOR",2026-05-17
"Marina Mabrey",26,"TOR",2026-05-17
"Kiki Rice",35,"TOR",2026-05-17
"Maria Conde",23,"TOR",2026-05-17
"Teonni Key",20,"TOR",2026-05-17
"Kia Nurse",12,"TOR",2026-05-17
"Lexi Held",5,"TOR",2026-05-17
"Mariella Fasoula",0,"TOR",2026-05-17
"Nneka Ogwumike",31,"LA",2026-05-17
"Dearica Hamby",31,"LA",2026-05-17
"Erica Wheeler",30,"LA",2026-05-17
"Kelsey Plum",36,"LA",2026-05-17
"Rae Burrell",18,"LA",2026-05-17
"Cameron Brink",18,"LA",2026-05-17
"Jihyun Park",8,"LA",2026-05-17
"Kate Martin",18,"LA",2026-05-17
"Chance Gray",10,"LA",2026-05-17
"Emma Cannon",0,"LA",2026-05-17
"Ta'Niya Latson",0,"LA",2026-05-17
"Kiki Iriafen",26,"WSH",2026-05-18
"Shakira Austin",26,"WSH",2026-05-18
"Sonia Citron",26,"WSH",2026-05-18
"Cotie Mc",21,"WSH",2026-05-18
"Georgia Amoore",24,"WSH",2026-05-18
"Angela Dugalic",13,"WSH",2026-05-18
"Lauren Betts",15,"WSH",2026-05-18
"Rori Harmon",5,"WSH",2026-05-18
"Lucy Olsen",10,"WSH",2026-05-18
"Cassandre Prosper",25,"WSH",2026-05-18
"Alex Wilson",8,"WSH",2026-05-18
"Jessica Shepard",27,"DAL",2026-05-18
"Alanna Smith",7,"DAL",2026-05-18
"Odyssey Sims",16,"DAL",2026-05-18
"Arike Ogunbowale",33,"DAL",2026-05-18
"Paige Bueckers",33,"DAL",2026-05-18
"Alysha Clark",7,"DAL",2026-05-18
"Maddy Siegrist",20,"DAL",2026-05-18
"Awak Kuier",20,"DAL",2026-05-18
"Li Yueru",5,"DAL",2026-05-18
"Azzi Fudd",24,"DAL",2026-05-18
"Aziaha James",7,"DAL",2026-05-18
"JJ QuinerlyJ. Quinerly#11",0,"DAL",2026-05-18
"Aaliyah Edwards",17,"CON",2026-05-18
"Diamond Miller",13,"CON",2026-05-18
"Brittney Griner",27,"CON",2026-05-18
"Kennedy Burke",21,"CON",2026-05-18
"Hailey Van",25,"CON",2026-05-18
"Aneesah Morrow",34,"CON",2026-05-18
"Raegan Beers",5,"CON",2026-05-18
"Nell Angloma",3,"CON",2026-05-18
"Saniya Rivers",28,"CON",2026-05-18
"Charlisse Leger",23,"CON",2026-05-18
"Gianna Kneepkens",4,"CON",2026-05-18
"Ashlon Jackson",0,"CON",2026-05-18
"Bridget Carleton",33,"POR",2026-05-18
"Emily Engstler",28,"POR",2026-05-18
"Nyadiew Puoch",21,"POR",2026-05-18
"Luisa Geiselsoder",25,"POR",2026-05-18
"Sug Sutton",25,"POR",2026-05-18
"Megan Gustafson",8,"POR",2026-05-18
"Serah Williams",12,"POR",2026-05-18
"Holly Winterburn",15,"POR",2026-05-18
"Haley Jones",12,"POR",2026-05-18
"Sarah Ashlee",21,"POR",2026-05-18
"Frieda Buhner",0,"POR",2026-05-18
"Maria Conde",33,"TOR",2026-05-19
"Laura Juskaite",23,"TOR",2026-05-19
"Brittney Sykes",35,"TOR",2026-05-19
"Marina Mabrey",32,"TOR",2026-05-19
"Kiki Rice",34,"TOR",2026-05-19
"Teonni Key",11,"TOR",2026-05-19
"Nikolina Milic",10,"TOR",2026-05-19
"Kia Nurse",13,"TOR",2026-05-19
"Lexi Held",9,"TOR",2026-05-19
"Mariella Fasoula",0,"TOR",2026-05-19
"DeWanna Bonner",30,"PHX",2026-05-19
"Alyssa Thomas",35,"PHX",2026-05-19
"Natasha Mack",18,"PHX",2026-05-19
"Kahleah Copper",35,"PHX",2026-05-19
"Jovana Nogic",29,"PHX",2026-05-19
"Valeriane Ayayi",12,"PHX",2026-05-19
"Noemie Brochant",25,"PHX",2026-05-19
"Kyara Linskens",3,"PHX",2026-05-19
"Kiana Williams",12,"PHX",2026-05-19
"Sha Carter",0,"PHX",2026-05-19
"Bridget Carleton",25,"POR",2026-05-20
"Emily Engstler",21,"POR",2026-05-20
"Nyadiew Puoch",20,"POR",2026-05-20
"Luisa Geiselsoder",22,"POR",2026-05-20
"Sug Sutton",24,"POR",2026-05-20
"Megan Gustafson",18,"POR",2026-05-20
"Serah Williams",17,"POR",2026-05-20
"Holly Winterburn",8,"POR",2026-05-20
"Haley Jones",13,"POR",2026-05-20
"Sarah Ashlee",19,"POR",2026-05-20
"Carla Leite",14,"POR",2026-05-20
"Monique Billings",21,"IND",2026-05-20
"Aliyah Boston",21,"IND",2026-05-20
"Kelsey Mitchell",28,"IND",2026-05-20
"Tyasha Harris",29,"IND",2026-05-20
"Lexie Hull",22,"IND",2026-05-20
"Myisha Hines",18,"IND",2026-05-20
"Makayla Timpson",20,"IND",2026-05-20
"Shatori Walker",3,"IND",2026-05-20
"Sophie Cunningham",15,"IND",2026-05-20
"Raven Johnson",22,"IND",2026-05-20
"Damiris Dantas",0,"IND",2026-05-20
"Jessica Shepard",31,"DAL",2026-05-20
"Alanna Smith",16,"DAL",2026-05-20
"Odyssey Sims",19,"DAL",2026-05-20
"Arike Ogunbowale",32,"DAL",2026-05-20
"Paige Bueckers",33,"DAL",2026-05-20
"Maddy Siegrist",7,"DAL",2026-05-20
"Awak Kuier",5,"DAL",2026-05-20
"Li Yueru",20,"DAL",2026-05-20
"Azzi Fudd",28,"DAL",2026-05-20
"Aziaha James",8,"DAL",2026-05-20
"Alysha Clark",0,"DAL",2026-05-20
"JJ QuinerlyJ. Quinerly#11",0,"DAL",2026-05-20
"Kamilla Cardoso",33,"CHI",2026-05-20
"Skylar Diggins",34,"CHI",2026-05-20
"Natasha Cloud",35,"CHI",2026-05-20
"Jacy Sheldon",21,"CHI",2026-05-20
"Gabriela Jaquez",28,"CHI",2026-05-20
"Elizabeth Williams",18,"CHI",2026-05-20
"Rachel Banham",15,"CHI",2026-05-20
"Aicha Coulibaly",16,"CHI",2026-05-20
"Sydney Taylor",0,"CHI",2026-05-20
"Aaliyah Edwards",27,"CON",2026-05-20
"Diamond Miller",15,"CON",2026-05-20
"Aneesah Morrow",7,"CON",2026-05-20
"Hailey Van",12,"CON",2026-05-20
"Gianna Kneepkens",4,"CON",2026-05-20
"Raegan Beers",27,"CON",2026-05-20
"Nell Angloma",29,"CON",2026-05-20
"Kennedy Burke",23,"CON",2026-05-20
"Saniya Rivers",13,"CON",2026-05-20
"Charlisse Leger",28,"CON",2026-05-20
"Ashlon Jackson",15,"CON",2026-05-20
"Jordan Horston",17,"SEA",2026-05-20
"Stefanie Dolson",28,"SEA",2026-05-20
"Natisha Hiedeman",30,"SEA",2026-05-20
"Flau'jae JohnsonF. Johnson#4",16,"SEA",2026-05-20
"Jade Melbourne",30,"SEA",2026-05-20
"Mackenzie Holmes",26,"SEA",2026-05-20
"Taylor Thierry",9,"SEA",2026-05-20
"Lexie Brown",22,"SEA",2026-05-20
"Zia Cooke",19,"SEA",2026-05-20
"Taina Mair",3,"SEA",2026-05-20
"Kayla Thornton",28,"GS",2026-05-21
"Gabby Williams",21,"GS",2026-05-21
"Kiah Stokes",26,"GS",2026-05-21
"Kaila Charles",24,"GS",2026-05-21
"Veronica Burton",27,"GS",2026-05-21
"Laeticia Amihere",13,"GS",2026-05-21
"Janelle Salaun",26,"GS",2026-05-21
"Tiffany Hayes",14,"GS",2026-05-21
"Miela Sowah",3,"GS",2026-05-21
"Kaitlyn Chen",15,"GS",2026-05-21
"Ndjakalenga Mwenentanda",1,"GS",2026-05-21
"Ashten Prechtel",0,"GS",2026-05-21
"Breanna Stewart",30,"NY",2026-05-21
"Satou Sabally",16,"NY",2026-05-21
"Jonquel Jones",28,"NY",2026-05-21
"Marine Johannes",26,"NY",2026-05-21
"Pauline Astier",25,"NY",2026-05-21
"Alex Fowler",15,"NY",2026-05-21
"Han Xu",7,"NY",2026-05-21
"Rebekah Gardner",19,"NY",2026-05-21
"Julie Vanloo",16,"NY",2026-05-21
"Rebecca Allen",17,"NY",2026-05-21
"Maria Conde",20,"TOR",2026-05-21
"Laura Juskaite",26,"TOR",2026-05-21
"Brittney Sykes",20,"TOR",2026-05-21
"Marina Mabrey",19,"TOR",2026-05-21
"Kiki Rice",23,"TOR",2026-05-21
"Teonni Key",16,"TOR",2026-05-21
"Nikolina Milic",14,"TOR",2026-05-21
"Mariella Fasoula",11,"TOR",2026-05-21
"Kia Nurse",27,"TOR",2026-05-21
"Lexi Held",23,"TOR",2026-05-21
"Natasha Howard",22,"MIN",2026-05-21
"Nia Coffey",25,"MIN",2026-05-21
"Kayla Mc",23,"MIN",2026-05-21
"Courtney Williams",29,"MIN",2026-05-21
"Olivia Miles",23,"MIN",2026-05-21
"Liatu King",19,"MIN",2026-05-21
"Antonia Delaere",18,"MIN",2026-05-21
"Anastasiia Olairi",14,"MIN",2026-05-21
"Maya Caldwell",22,"MIN",2026-05-21
"Eliska Hamzova",5,"MIN",2026-05-21
"Nneka Ogwumike",31,"LA",2026-05-21
"Dearica Hamby",30,"LA",2026-05-21
"Erica Wheeler",26,"LA",2026-05-21
"Kelsey Plum",34,"LA",2026-05-21
"Ariel Atkins",24,"LA",2026-05-21
"Cameron Brink",19,"LA",2026-05-21
"Jihyun Park",11,"LA",2026-05-21
"Rae Burrell",22,"LA",2026-05-21
"Kate Martin",1,"LA",2026-05-21
"Chance Gray",2,"LA",2026-05-21
"Emma Cannon",0,"LA",2026-05-21
"Ta'Niya Latson",0,"LA",2026-05-21
"DeWanna Bonner",30,"PHX",2026-05-21
"Alyssa Thomas",35,"PHX",2026-05-21
"Natasha Mack",28,"PHX",2026-05-21
"Kahleah Copper",36,"PHX",2026-05-21
"Jovana Nogic",30,"PHX",2026-05-21
