"team","rating","strength","rotation_rating"
"ATL",84.2,83,81.2
"MIN",84.1,83.2,81.1
"DAL",82.1,81.7,82
"NYL",80.6,80.3,79.9
"LVA",79.1,82.5,72.2
"GSV",78.5,79.1,87
"IND",76.9,79.8,87.7
"TOR",75.4,77.8,78.5
"SEA",74.1,74.2,87.3
"CHI",74.1,74.2,86.1
"WAS",73.9,77.5,77.8
"LAS",73.4,77.3,70.3
"POR",73.4,72.7,82.7
"PHO",73,76.4,70.7
"CON",71.8,72.6,69.7
