"player","team","g","mp","mp_g"
"Aaliyah Nye","ATL",13,15,1.15
"Allisha Gray","ATL",23,769,33.43
"Amy Okonkwo","ATL",3,2,0.67
"Angel Reese","ATL",23,705,30.65
"Brionna Jones","ATL",1,0,0
"Indya Nivar","ATL",23,60,2.61
"Isobel Borlase","ATL",23,285,12.39
"Jordin Canada","ATL",23,720,31.3
"Madina Okot","ATL",23,224,9.74
"Naz Hillmon","ATL",21,622,29.62
"Rhyne Howard","ATL",22,778,35.36
"Sika Koné","ATL",23,120,5.22
"Te-Hina PaoPao","ATL",23,303,13.17
"Aicha Coulibaly","CHI",14,161,11.5
"Azura Stevens","CHI",17,400,23.53
"Courtney Vandersloot","CHI",6,81,13.5
"DiJonai Carrington","CHI",3,0,0
"Elizabeth Williams","CHI",22,380,17.27
"Gabriela Jaquez","CHI",19,418,22
"Jacy Sheldon","CHI",22,476,21.64
"Kamilla Cardoso","CHI",22,588,26.73
"Maddy Westbeld","CHI",2,21,10.5
"Natasha Cloud","CHI",21,563,26.81
"Rachel Banham","CHI",22,277,12.59
"Rickea Jackson","CHI",7,118,16.86
"Saylor Poffenbarger","CHI",10,26,2.6
"Skylar Diggins","CHI",20,576,28.8
"Sydney Taylor","CHI",22,372,16.91
"Aaliyah Edwards","CON",17,319,18.76
"Aneesah Morrow","CON",17,386,22.71
"Ashlon Jackson","CON",18,66,3.67
"Brittney Griner","CON",14,352,25.14
"Charlisse Leger-Walker","CON",23,502,21.83
"Diamond Miller","CON",23,494,21.48
"Gianna Kneepkens","CON",23,151,6.57
"Hailey Van Lith","CON",17,164,9.65
"Kennedy Burke","CON",22,535,24.32
"Leïla Lacan","CON",14,403,28.79
"Nell Angloma","CON",20,196,9.8
"Olivia Nelson-Ododa","CON",19,389,20.47
"Raegan Beers","CON",23,194,8.43
"Saniya Rivers","CON",21,476,22.67
"Alanna Smith","DAL",18,270,15
"Alysha Clark","DAL",21,132,6.29
"Arike Ogunbowale","DAL",23,662,28.78
"Awak Kuier","DAL",20,355,17.75
"Aziaha James","DAL",23,293,12.74
"Azzi Fudd","DAL",22,670,30.45
"Costanza Verona","DAL",7,6,0.86
