"player","team","mp_g","mp_g_star","min_diff","rating"
"A'ja Wilson+","LVA",0,0,0,99
"Rhyne Howard","ATL",34,33,-1,95
"Jessica Shepard","DAL",34,34,0,95
"Breanna Stewart","NYL",31,28,-3,94
"Kelsey Mitchell","IND",34,34,0,94
"Kayla McBride","MIN",34,34,0,94
"Paige Bueckers","DAL",34,34,0,93
"Olivia Miles","MIN",34,34,0,93
"Natasha Howard","MIN",34,34,0,93
"Veronica Burton","GSV",34,34,0,93
"Jackie Young","LVA",34,34,0,93
"Sonia Citron","WAS",33,32,-1,92
"Allisha Gray","ATL",34,32,-2,92
"Aliyah Boston+","IND",0,0,0,91
"Napheesa Collier","MIN",34,33,-1,91
"Jonquel Jones","NYL",26,27,1,91
"Caitlin Clark+","IND",0,0,0,90
"Kamilla Cardoso","CHI",34,34,0,90
"Kelsey Plum+","PHO",0,0,0,89
"Angel Reese","ATL",33,30,-3,89
"Jordin Canada","ATL",33,30,-3,88
"Alyssa Thomas","PHO",34,34,0,88
"Nneka Ogwumike","LAS",34,34,0,88
"Kiki Iriafen","WAS",28,30,2,88
"Shakira Austin","WAS",30,29,-1,88
"NaLyssa Smith+","LVA",0,0,0,87
"Dearica Hamby","LAS",34,34,0,86
"Janelle Salaün+","GSV",0,0,0,85
"Natasha Mack","PHO",32,34,2,85
"Courtney Williams+","MIN",0,0,0,84
"Kiki Rice","TOR",40,40,0,83
"Bridget Carleton","POR",34,34,0,83
"Dominique Malonga","SEA",32,34,2,82
"Chennedy Carter","LVA",30,34,4,82
"Natasha Cloud+","CHI",0,0,0,82
"Monique Billings","IND",29,30,1,82
"Sophie Cunningham","IND",33,29,-4,81
"Chelsea Gray","LVA",34,34,0,81
"Natisha Hiedeman+","SEA",0,0,0,81
"Arike Ogunbowale","DAL",34,32,-2,81
"Julie Allemand+","TOR",0,0,0,81
"Gabby Williams+","GSV",0,0,0,81
"Nia Coffey","MIN",29,26,-3,81
"Azzi Fudd+","DAL",0,0,0,81
